gene,mean_score,max_score,n_links,is_deg,is_metabolic,is_trained,category
FHAD1_distal,0.137706666666667,0.6275,315,FALSE,FALSE,FALSE,Background
FHAD1_distal;AL031283.3_distal,0.295475,0.336,8,FALSE,FALSE,FALSE,Background
FHAD1_distal;AL031283.2_distal,0.173730434782609,0.6228,69,FALSE,FALSE,FALSE,Background
AL031283.1_distal,0.25901,0.6677,30,FALSE,FALSE,FALSE,Background
FHAD1,0.155234246575342,0.6043,73,TRUE,FALSE,FALSE,Other DEG
FHAD1_distal;AL031283.2_distal;AL031283.3_distal,0.182757142857143,0.3121,7,FALSE,FALSE,FALSE,Background
FHAD1_distal;AL031283.1_distal,0.109117391304348,0.4062,23,FALSE,FALSE,FALSE,Background
AL031283.1_distal;FHAD1_distal,0.188325,0.3169,8,FALSE,FALSE,FALSE,Background
EFHD2;AL031283.1,0.34958,0.4269,5,FALSE,FALSE,FALSE,Background
AL031293.1_distal;KAZN_distal,0.224061290322581,0.3368,31,FALSE,FALSE,FALSE,Background
KAZN_distal,0.195853846153846,0.3486,26,FALSE,FALSE,FALSE,Background
EFHD2_distal,0.0771867346938775,0.5935,98,FALSE,FALSE,FALSE,Background
EFHD2_distal;CTRC_distal,0.0365379310344828,0.4292,29,FALSE,FALSE,FALSE,Background
CTRC_distal,0.0651378378378378,0.5865,37,FALSE,FALSE,FALSE,Background
CASP9_distal,0.0248285714285714,0.4014,28,FALSE,FALSE,FALSE,Background
AGMAT_distal,-0.00793939393939395,0.4933,33,FALSE,FALSE,FALSE,Background
AGMAT,-0.0158395348837209,0.4867,43,FALSE,FALSE,FALSE,Background
AL121992.2_distal,0.0664758620689655,0.4319,58,FALSE,FALSE,FALSE,Background
SPEN_distal,-0.0356057142857143,0.5281,35,FALSE,FALSE,FALSE,Background
SPEN_distal;AL450998.2_distal,-0.0648333333333334,0.5497,63,FALSE,FALSE,FALSE,Background
FAM131C,0.032347619047619,0.4098,21,FALSE,FALSE,FALSE,Background
AL451042.1,-0.0389548387096774,0.4414,31,FALSE,FALSE,FALSE,Background
AL451042.1_distal,-0.0221205357142857,0.6231,112,FALSE,FALSE,FALSE,Background
CPLANE2_distal;FBXO42_distal,0.188861538461539,0.4754,39,FALSE,FALSE,FALSE,Background
SPATA21_distal,-0.218646511627907,0.4834,43,FALSE,FALSE,FALSE,Background
ZBTB17_distal,0.115076470588235,0.5167,34,FALSE,FALSE,FALSE,Background
ZBTB17,0.108992307692308,0.4111,13,FALSE,FALSE,FALSE,Background
CLCNKB_distal;CLCNKA_distal,-0.140133333333333,0.2841,12,FALSE,FALSE,FALSE,Background
FAM131C_distal,0.110808333333333,0.3369,12,FALSE,FALSE,FALSE,Background
AL451042.2_distal,0.0868375,0.7053,8,FALSE,FALSE,FALSE,Background
EPHA2_distal;AL451042.2,0.1429,0.2932,4,FALSE,FALSE,FALSE,Background
CPLANE2,-0.169539393939394,0.4929,33,FALSE,FALSE,FALSE,Background
FBXO42_distal,0.189323076923077,0.4012,39,FALSE,FALSE,FALSE,Background
FBXO42,-0.103981818181818,0.4626,55,FALSE,FALSE,FALSE,Background
SZRD1_distal,0.188958571428571,0.4506,70,FALSE,FALSE,FALSE,Background
SZRD1,-0.020276,0.3217,25,FALSE,FALSE,FALSE,Background
NECAP2,-0.147972972972973,0.3457,37,FALSE,FALSE,FALSE,Background
AL137802.2_distal,-0.260188888888889,0.5344,45,FALSE,FALSE,FALSE,Background
NBPF1,-0.194504444444444,0.488,45,FALSE,FALSE,FALSE,Background
AL137798.2_distal,-0.340998666666666,0.6528,75,FALSE,FALSE,FALSE,Background
BX284668.2_distal,-0.2584125,0.3648,24,FALSE,FALSE,FALSE,Background
CROCC_distal,-0.358134920634921,0.4988,63,FALSE,FALSE,FALSE,Background
CROCC,0.180771052631579,0.6118,76,FALSE,FALSE,FALSE,Background
ATP13A2,-0.38495,0.368,60,FALSE,FALSE,FALSE,Background
SDHB_distal,0.321788837209302,0.5353,215,FALSE,FALSE,FALSE,Background
SDHB_distal;PADI2_distal,0.41031320754717,0.729,53,FALSE,FALSE,FALSE,Background
PADI2_distal;SDHB_distal,0.26418,0.3603,25,FALSE,FALSE,FALSE,Background
PADI2_distal,0.334238144329897,0.6732,194,FALSE,FALSE,FALSE,Background
PADI2,0.352244444444444,0.6713,90,FALSE,FALSE,FALSE,Background
LINC02783_distal,0.307539325842697,0.4779,89,FALSE,FALSE,FALSE,Background
PADI1_distal,0.318010294117647,0.664,68,FALSE,FALSE,FALSE,Background
PADI3_distal,0.281973134328358,0.5371,67,FALSE,FALSE,FALSE,Background
PADI3_distal;PADI4_distal,0.403382352941177,0.7514,34,FALSE,FALSE,FALSE,Background
