p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type
2.11215338417597e-31,-0.817628762740222,0.071,0.136,4.74051705544455e-27,XPO1,B_cell
2.49091838370676e-31,-0.22521308913256,0.992,0.969,5.59061722039146e-27,RPS27,B_cell
2.53132166497365e-31,-0.34120434844327,0.104,0.182,5.68129834486687e-27,EMC7,B_cell
2.61653688956339e-31,-0.821126840217219,0.061,0.123,5.87255539493607e-27,CCPG1,B_cell
2.63562194667392e-31,-0.289125800682057,0.138,0.228,5.91538989711494e-27,FLOT1,B_cell
2.80437796181874e-31,-0.605061231330858,0.133,0.218,6.29414589750598e-27,ADIPOR1,B_cell
2.87597871358183e-31,-0.470571234168826,0.128,0.211,6.45484662476305e-27,GABPB1,B_cell
2.89804427268635e-31,-0.858177157761261,0.147,0.236,6.50437056561724e-27,NCOA4,B_cell
2.95637089647452e-31,-0.801217436822026,0.075,0.141,6.63527884004742e-27,WBP1,B_cell
3.08813253072026e-31,-0.437293955243898,0.071,0.139,6.93100465194855e-27,LGALS3BP,B_cell
3.12018796320265e-31,-0.661304762243169,0.085,0.156,7.00294986461202e-27,NUMB,B_cell
3.1939604375172e-31,-0.341196363455688,0.122,0.207,7.16852480596362e-27,ATP6AP1,B_cell
3.56225188888472e-31,-0.752107090269517,0.09,0.161,7.99511813941286e-27,NASP,B_cell
3.57172072127789e-31,-0.269935305927196,0.192,0.294,8.0163699868361e-27,POLR2E,B_cell
3.65277876288807e-31,-0.327290345743214,0.186,0.286,8.19829665542598e-27,PPP2R1A,B_cell
3.76212620053433e-31,-1.12526538532693,0.053,0.111,8.44371604447926e-27,S1PR4,B_cell
4.04342102565824e-31,-0.665964867495855,0.123,0.203,9.07505414998736e-27,SDR39U1,B_cell
4.04599258250013e-31,-0.579347058786883,0.083,0.153,9.08082575216329e-27,VPS4A,B_cell
4.84637066379105e-31,-0.966152351417525,0.059,0.12,1.08771943178126e-26,GSK3B,B_cell
5.68602615566132e-31,-0.828092032214984,0.08,0.147,1.27617171037663e-26,ELMO1,B_cell
5.99804413650448e-31,-0.883174908539879,0.076,0.143,1.34620102599706e-26,CAPN1,B_cell
6.43503079926902e-31,0.782725062846802,0.491,0.487,1.44427831258794e-26,NDUFB4,B_cell
7.20826939309548e-31,-0.409042690904458,0.13,0.215,1.61782398258635e-26,CIR1,B_cell
7.45122008644639e-31,-0.186368850363232,0.972,0.95,1.67235183620203e-26,RPS18,B_cell
8.2270349914945e-31,-0.453601186573948,0.113,0.192,1.84647573349103e-26,TMEM9B,B_cell
8.31853232859427e-31,-0.530607199227321,0.156,0.241,1.8670113958297e-26,STK17A,B_cell
9.38865449507052e-31,-0.277399036313578,0.119,0.203,2.10718961487363e-26,CAPNS1,B_cell
1.03207329790785e-30,-1.02667279739508,0.063,0.124,2.31638530982438e-26,GOLGB1,B_cell
1.05710745773075e-30,-0.62994349938042,0.052,0.112,2.37257197813089e-26,NFIC,B_cell
1.08676177196305e-30,-0.131221534868598,0.881,0.913,2.43912812099387e-26,RPL15,B_cell
1.08760840673455e-30,-0.656940429382013,0.076,0.143,2.44102830807502e-26,TM2D3,B_cell
1.1526257224251e-30,-0.258828721579503,0.26,0.379,2.5869531714109e-26,UBE2B,B_cell
1.16423446506901e-30,-0.780214477230144,0.078,0.145,2.61300783340089e-26,POLE3,B_cell
1.18032808486286e-30,-0.83075785198029,0.066,0.129,2.64912835366619e-26,ASCC2,B_cell
1.22202808527914e-30,-1.08191757778919,0.05,0.107,2.7427198346005e-26,DUSP12,B_cell
1.26828756399472e-30,-0.20842849088801,0.412,0.56,2.84654460862975e-26,ERP29,B_cell
1.41308281215844e-30,-0.688003565022721,0.123,0.201,3.17152306360839e-26,ABI1,B_cell
1.48864130815979e-30,-0.212461948676438,0.204,0.31,3.34110655203383e-26,HADHA,B_cell
1.52886096960353e-30,-0.71621751517951,0.089,0.16,3.43137556017816e-26,N4BP2L1,B_cell
1.59344645321905e-30,-0.601447322602486,0.065,0.129,3.57633121960483e-26,TSEN34,B_cell
